Environment,Model,Iteration,Tokens_Per_Second,Time_To_First_Token_S,Generation_Time_S,Prompt_Tokens,Generation_Tokens
exec,Llama-3.2-1B-Instruct-4bit,80,132.16007995205842,0.060310250000014776,,,
vm,Llama-3.2-1B-Instruct-4bit,80,128.5542079246394,0.07418599999999742,,,
exec,Llama-3.2-1B-Instruct-4bit,81,132.05731801180795,0.060135583000004544,,,
vm,Llama-3.2-1B-Instruct-4bit,81,128.23215900223937,0.07937604099998907,,,
exec,Llama-3.2-1B-Instruct-4bit,82,131.91925796481007,0.06056691700001693,,,
vm,Llama-3.2-1B-Instruct-4bit,82,128.57438194363624,0.0761669999999981,,,
exec,Llama-3.2-1B-Instruct-4bit,83,132.2077171736083,0.05969958299999689,,,
vm,Llama-3.2-1B-Instruct-4bit,83,126.39929512643062,0.07420150000001513,,,
exec,Llama-3.2-1B-Instruct-4bit,84,132.03888237889228,0.05961175000001617,,,
vm,Llama-3.2-1B-Instruct-4bit,84,128.54156702404245,0.07596516700002098,,,
exec,Llama-3.2-1B-Instruct-4bit,85,132.12431267532577,0.059481458999982806,,,
vm,Llama-3.2-1B-Instruct-4bit,85,128.44936945774882,0.0769717910000054,,,
exec,Llama-3.2-1B-Instruct-4bit,86,131.45749647927596,0.05938645800000586,,,
vm,Llama-3.2-1B-Instruct-4bit,86,127.9501900785791,0.08145545799999354,,,
exec,Llama-3.2-1B-Instruct-4bit,87,132.02513273747624,0.060504082999983666,,,
vm,Llama-3.2-1B-Instruct-4bit,87,128.7029837411307,0.06633016699998961,,,
exec,Llama-3.2-1B-Instruct-4bit,88,132.10001566293383,0.06074558400001706,,,
vm,Llama-3.2-1B-Instruct-4bit,88,128.38138901140417,0.07941829200001393,,,
exec,Llama-3.2-1B-Instruct-4bit,89,132.03020831155257,0.06029941700001018,,,
vm,Llama-3.2-1B-Instruct-4bit,89,128.59183046185453,0.0755609590000006,,,
exec,Llama-3.2-1B-Instruct-4bit,90,132.0460022770546,0.05967137499999353,,,
vm,Llama-3.2-1B-Instruct-4bit,90,128.39040041386076,0.07689362499999675,,,
exec,Llama-3.2-1B-Instruct-4bit,91,132.17772482637267,0.05958591600000318,,,
vm,Llama-3.2-1B-Instruct-4bit,91,127.50878833155201,0.07524254099999439,,,
exec,Llama-3.2-1B-Instruct-4bit,92,132.10575328110352,0.05942862500000956,,,
vm,Llama-3.2-1B-Instruct-4bit,92,128.84243626954907,0.0707584999999824,,,
exec,Llama-3.2-1B-Instruct-4bit,93,132.09675803724514,0.059649916000012126,,,
vm,Llama-3.2-1B-Instruct-4bit,93,128.63141140125342,0.07479454099998861,,,
exec,Llama-3.2-1B-Instruct-4bit,94,132.11183501332343,0.059698875000009366,,,
vm,Llama-3.2-1B-Instruct-4bit,94,127.4312847529445,0.07591720900001064,,,
exec,Llama-3.2-1B-Instruct-4bit,95,131.97825627914116,0.060075291999993397,,,
vm,Llama-3.2-1B-Instruct-4bit,95,128.13212555544644,0.08020483399999989,,,
exec,Llama-3.2-1B-Instruct-4bit,96,131.96887884536324,0.05975116599998387,,,
vm,Llama-3.2-1B-Instruct-4bit,96,128.5446786390024,0.07587449999999762,,,
exec,Llama-3.2-1B-Instruct-4bit,97,132.11372124944793,0.05958241700000144,,,
vm,Llama-3.2-1B-Instruct-4bit,97,128.5114810277168,0.07446020899999439,,,
exec,Llama-3.2-1B-Instruct-4bit,98,132.1122894886257,0.060336083999999346,,,
vm,Llama-3.2-1B-Instruct-4bit,98,128.57130660088202,0.07631241699999691,,,
exec,Llama-3.2-1B-Instruct-4bit,99,132.05602657472713,0.05973629100000721,,,
vm,Llama-3.2-1B-Instruct-4bit,99,128.58166061492906,0.0735832910000056,,,
exec,Llama-3.2-1B-Instruct-4bit,100,132.22714199933117,0.05990291599999864,,,
vm,Llama-3.2-1B-Instruct-4bit,100,128.5808694136815,0.07389474999999379,,,
exec,Llama-3.2-1B-Instruct-4bit,101,132.06997853898415,0.06042595799999617,,,
vm,Llama-3.2-1B-Instruct-4bit,101,128.5722294788423,0.0739729579999846,,,
exec,Llama-3.2-1B-Instruct-4bit,102,132.08786345365547,0.0604567080000038,,,
vm,Llama-3.2-1B-Instruct-4bit,102,128.08823409240793,0.0667170419999934,,,
exec,Llama-3.2-1B-Instruct-4bit,103,131.96171053029076,0.059614291000002595,,,
vm,Llama-3.2-1B-Instruct-4bit,103,128.5549610969954,0.07354270799999085,,,
exec,Llama-3.2-1B-Instruct-4bit,104,132.12986765980827,0.05968933299999435,,,
vm,Llama-3.2-1B-Instruct-4bit,104,128.15732914118675,0.07956716699999333,,,
exec,Llama-3.2-1B-Instruct-4bit,105,132.07874573825353,0.06081433299999617,,,
vm,Llama-3.2-1B-Instruct-4bit,105,128.58639142784392,0.07413712499999292,,,
exec,Llama-3.2-1B-Instruct-4bit,106,132.15000001259543,0.0604997500000195,,,
vm,Llama-3.2-1B-Instruct-4bit,106,128.28383060503154,0.07820637500000771,,,
exec,Llama-3.2-1B-Instruct-4bit,107,132.236505011942,0.06032133299999032,,,
vm,Llama-3.2-1B-Instruct-4bit,107,128.09713766070374,0.0749822499999766,,,
exec,Llama-3.2-1B-Instruct-4bit,108,132.16329239411942,0.05994129100000123,,,
vm,Llama-3.2-1B-Instruct-4bit,108,128.49382857417396,0.07351933299997881,,,
exec,Llama-3.2-1B-Instruct-4bit,109,132.08654020555733,0.059571916000010106,,,
vm,Llama-3.2-1B-Instruct-4bit,109,127.44835572329617,0.07327237500001615,,,
exec,Llama-3.2-1B-Instruct-4bit,110,132.0057814407104,0.06061508399997706,,,
vm,Llama-3.2-1B-Instruct-4bit,110,128.42580107312884,0.0753496250000012,,,
exec,Llama-3.2-1B-Instruct-4bit,111,132.01422246975022,0.05972929199998589,,,
vm,Llama-3.2-1B-Instruct-4bit,111,128.46844141522965,0.07555708399999617,,,
exec,Llama-3.2-1B-Instruct-4bit,112,132.35455588228479,0.06069579199998998,,,
vm,Llama-3.2-1B-Instruct-4bit,112,128.37000780547913,0.07411037499997519,,,
exec,Llama-3.2-1B-Instruct-4bit,113,131.91672014391054,0.06010679100000971,,,
vm,Llama-3.2-1B-Instruct-4bit,113,127.05667830118536,0.07553216700000576,,,
exec,Llama-3.2-1B-Instruct-4bit,114,132.30634837256378,0.05997779099999434,,,
vm,Llama-3.2-1B-Instruct-4bit,114,128.20070358589257,0.07883391600000778,,,
exec,Llama-3.2-1B-Instruct-4bit,115,132.04538363729364,0.06079062500000987,,,
vm,Llama-3.2-1B-Instruct-4bit,115,128.63287102414947,0.07471183399999859,,,
exec,Llama-3.2-1B-Instruct-4bit,116,132.04550282869522,0.06093100000001073,,,
vm,Llama-3.2-1B-Instruct-4bit,116,128.4485369604525,0.07669525000000021,,,
exec,Llama-3.2-1B-Instruct-4bit,117,132.1236649344938,0.06037062499999024,,,
vm,Llama-3.2-1B-Instruct-4bit,117,127.90159040596645,0.0683123329999944,,,
exec,Llama-3.2-1B-Instruct-4bit,118,131.99182037408355,0.06028179200001205,,,
vm,Llama-3.2-1B-Instruct-4bit,118,128.55157999226924,0.07496274999999741,,,
exec,Llama-3.2-1B-Instruct-4bit,119,132.14749880531681,0.0597762089999776,,,
vm,Llama-3.2-1B-Instruct-4bit,119,128.36937221388672,0.07495058300000323,,,
exec,Llama-3.2-1B-Instruct-4bit,120,131.94488255700512,0.06002254199998447,,,
vm,Llama-3.2-1B-Instruct-4bit,120,128.66434761543888,0.07689133400000969,,,
exec,Llama-3.2-1B-Instruct-4bit,121,132.18674816479347,0.06045070800001895,,,
vm,Llama-3.2-1B-Instruct-4bit,121,128.43251788800174,0.0785020000000145,,,
exec,Llama-3.2-1B-Instruct-4bit,122,132.19549107639858,0.06039220799999612,,,
vm,Llama-3.2-1B-Instruct-4bit,122,128.6134055611494,0.07500149999998484,,,
exec,Llama-3.2-1B-Instruct-4bit,123,132.23374999036042,0.05992745899999363,,,
vm,Llama-3.2-1B-Instruct-4bit,123,128.62097938744176,0.07537670800002161,,,
exec,Llama-3.2-1B-Instruct-4bit,124,132.2442667382393,0.06014029199999982,,,
vm,Llama-3.2-1B-Instruct-4bit,124,127.37466731777035,0.07569749999998976,,,
exec,Llama-3.2-1B-Instruct-4bit,125,132.23195417207978,0.06058341699997527,,,
vm,Llama-3.2-1B-Instruct-4bit,125,128.4761459584415,0.07652254200002062,,,
exec,Llama-3.2-1B-Instruct-4bit,126,131.98151384634699,0.06071033300003137,,,
